fictitious,identifier,class,roadNumber,name1,name1_lang,name2,name2_lang,formOfWay,length,primary,trunkRoad,loop,startNode,endNode,structure,nameTOID,numberTOID,function.,length_raw,length_str,length_dif,sinuosity
false,BE4C9B5A-45D4-4489-8FD6-CB79D500D284,A Road,A509,Portway,NA,NA,NA,Roundabout,35,false,false,false,75B49E9D-A1F6-43AC-9BB5-86819CCD857B,581959A0-E111-4CAE-8A18-3C3EA38D6059,NA,osgb4000000019433751,osgb4000000019553705,A Road,34.6280380945995,32.0440322056934,2.5840058889061,1.08063922393783
false,9DBED931-D329-4FA9-9067-26FCCDE7C696,A Road,A509,Portway,NA,NA,NA,Roundabout,39,false,false,false,581959A0-E111-4CAE-8A18-3C3EA38D6059,3563E510-729F-472F-8522-EA12A6B688B5,NA,osgb4000000019433751,osgb4000000019553705,A Road,39.0871177117484,35.2083995660058,3.87871814574263,1.11016456849938
false,A388D59A-ABBB-4CD2-8799-510935545C38,Unclassified,NA,Warmington Gardens,NA,NA,NA,Single Carriageway,53,false,false,false,150A5EF2-5179-4122-B534-FBE80C905F4C,A353A0CB-48CE-4857-825E-FE5DE0EA6391,NA,osgb4000000019408292,NA,Local Road,52.6307894677631,52.6307894677631,0,1
false,2BAD4090-6F77-49CA-83CB-7C20CBE66B3D,Unknown,NA,Warmington Gardens,NA,NA,NA,Single Carriageway,84,false,false,false,E972AF8F-14E2-448A-8AB9-15D1CD42C69B,150A5EF2-5179-4122-B534-FBE80C905F4C,NA,osgb4000000019408292,NA,Local Road,84.4453128153725,84.0238061504,0.421506664972469,1.00501651477461
false,F3A9A650-CC93-40B8-A9D2-D3E029F8251B,Unclassified,NA,Sakura Walk,NA,NA,NA,Single Carriageway,180,false,false,false,A75F5DB0-9403-4197-9859-AA6763D022F9,913A77BF-D597-484A-9675-1360BDCD2F7F,NA,osgb4000000019758586,NA,Local Road,179.717435427337,158.343687275518,21.373748151819,1.13498326658662
false,9FA25416-D064-4462-897E-601D109AF470,A Road,A509,Portway,NA,NA,NA,Roundabout,36,false,false,false,3563E510-729F-472F-8522-EA12A6B688B5,1EEC94E0-E449-47D1-88F4-12DB2C1D7602,NA,osgb4000000019433751,osgb4000000019553705,A Road,36.2967530775033,33.5202103215328,2.77654275597052,1.08283190139135
false,C4173E7F-C21C-4EF3-827B-867C73CF6754,A Road,A509,Portway,NA,NA,NA,Roundabout,39,false,false,false,1EEC94E0-E449-47D1-88F4-12DB2C1D7602,75B49E9D-A1F6-43AC-9BB5-86819CCD857B,NA,osgb4000000019433751,osgb4000000019553705,A Road,38.5432138326759,35.1322828748619,3.41093095781407,1.0970882242399
false,768E9FC4-CD07-400B-8473-01DBA2957C3A,Unclassified,NA,Downs Barn Boulevard,NA,NA,NA,Single Carriageway,172,false,false,false,7ABB51AB-E1D9-40B0-9F39-EAFD305A03EC,FC14F5EE-8136-4839-82F0-49807E64F942,NA,osgb4000000019433865,NA,Local Road,172.45814760409,171.484712438137,0.973435165952594,1.00567651280463
false,6D22E735-ED9D-42A4-915E-86D2ED41834F,Unclassified,NA,Pelham Place,NA,NA,NA,Collapsed Dual Carriageway,137,false,false,false,C4E00F39-FF07-4FAB-96F9-3DFD066AC6A2,FC9A8121-6552-4BF0-9137-F0C3A691CD06,NA,osgb4000000019408281,NA,Local Road,136.527014934644,136.505391834899,0.0216230997449429,1.00015840473006
false,343154DD-5537-4BC2-894D-31B28CD91772,Unclassified,NA,Downs Barn Boulevard,NA,NA,NA,Single Carriageway,89,false,false,false,FBECA8A5-CCE5-422D-B606-0CC8A6206C5D,C4E00F39-FF07-4FAB-96F9-3DFD066AC6A2,NA,osgb4000000019433865,NA,Local Road,89.2711673793619,89.2583419070461,0.0128254723157681,1.00014368934087
